$Name	"%Input[2:0,0]<2:1,17>"	"%Input[2:0,1]"	"%Input[2:0,2]"	"%Input[2:0,3]"	"%Input[2:0,4]"	"%Input[2:0,5]"	"%Input[2:0,6]"	"%Input[2:0,7]"	"%Input[2:0,8]"	"%Input[2:0,9]"	"%Input[2:0,10]"	"%Input[2:0,11]"	"%Input[2:0,12]"	"%Input[2:0,13]"	"%Input[2:0,14]"	"%Input[2:0,15]"	"%Input[2:0,16]"	"%Context[2:0,0]<2:1,8>"	"%Context[2:0,1]"	"%Context[2:0,2]"	"%Context[2:0,3]"	"%Context[2:0,4]"	"%Context[2:0,5]"	"%Context[2:0,6]"	"%Context[2:0,7]"	"%Profession[2:0,0]<2:1,4>"	"%Profession[2:0,1]"	"%Profession[2:0,2]"	"%Profession[2:0,3]"	"%Conjunction[2:0,0]<2:1,8>"	"%Conjunction[2:0,1]"	"%Conjunction[2:0,2]"	"%Conjunction[2:0,3]"	"%Conjunction[2:0,4]"	"%Conjunction[2:0,5]"	"%Conjunction[2:0,6]"	"%Conjunction[2:0,7]"	"%Race[2:0,0]<2:1,2>"	"%Race[2:0,1]"	"%Gender[2:0,0]<2:1,2>"	"%Gender[2:0,1]"	"%Attributes[2:0,0]<2:1,8>"	"%Attributes[2:0,1]"	"%Attributes[2:0,2]"	"%Attributes[2:0,3]"	"%Attributes[2:0,4]"	"%Attributes[2:0,5]"	"%Attributes[2:0,6]"	"%Attributes[2:0,7]"	"%NegEval[2:0,0]<2:1,11>"	"%NegEval[2:0,1]"	"%NegEval[2:0,2]"	"%NegEval[2:0,3]"	"%NegEval[2:0,4]"	"%NegEval[2:0,5]"	"%NegEval[2:0,6]"	"%NegEval[2:0,7]"	"%NegEval[2:0,8]"	"%NegEval[2:0,9]"	"%NegEval[2:0,10]"	"%PosEval[2:0,0]<2:1,11>"	"%PosEval[2:0,1]"	"%PosEval[2:0,2]"	"%PosEval[2:0,3]"	"%PosEval[2:0,4]"	"%PosEval[2:0,5]"	"%PosEval[2:0,6]"	"%PosEval[2:0,7]"	"%PosEval[2:0,8]"	"%PosEval[2:0,9]"	"%PosEval[2:0,10]"
Blackmaledoctor	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Whitemaledoctor	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Whitefemaledoctor	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Blackfemaledoctor	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Blackmalebusinessman	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Blackfemalebusinesswoman	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Whitefemalebusinesswoman	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Whitemalebusinessman	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Blackmalegangster	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackfemalegangster	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Whitefemalegangster	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Whitemalegangster	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
White_female	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
White_male	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
Black_female	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Black_male	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Whitefemaleathlete	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0
Whitemaleathlete	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0
Blackmaleathlete	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0
Blackfemaleathlete	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0